,focal_habitat,sis_habitat,focal_metabolism,sis_metabolism
Rhodobacterale_jump1,NA,NA,NA,NA
Rhodobacterale_jump2,water|water,water|NA|NA|NA|water|NA|NA|NA|water|NA,aerobic|obligate aerobic,NA|NA|NA|NA|aerobic|NA|NA|NA|facultative|NA
Rhodobacterale_jump3,sediment,NA|NA|NA|water|NA,obligate aerobic,NA|NA|NA|aerobic|NA
Rhodobacterale_jump4,NA|water|NA|water|NA|soil|NA|water|NA,wastewater|sediment|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|soil|soil|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|water|NA|water,NA|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA,facultative|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic
Rhodobacterale_jump5,water|water,NA,aerobic|obligate aerobic,NA
Rhodobacterale_jump6,NA|NA,NA,NA|NA,NA
Rhodobacterale_jump7,NA,wastewater|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|bioreactor/digester|bioreactor/digester|NA|NA|soil|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|soil|sediment|host|soil|soil|NA|NA|rock|NA|soil|wastewater|host|NA|NA|NA|soil|sludge|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|sediment|host|water|NA|host|host|NA|NA|NA|soil|soil|biofilm|host|NA|NA|water|NA|soil|NA|water|water|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|sediment|sediment|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|water|NA|NA,NA,aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|microaerophilic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|facultative|facultative|NA|microaerophilic|NA|facultative|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA
Rhodobacterale_jump8,NA|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|bioreactor/digester|bioreactor/digester|NA|NA|soil|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|soil|sediment|host|soil|soil|NA|NA|rock|NA|soil|wastewater|host|NA|NA|NA|soil|sludge|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|sediment|host|water|NA|host|host|NA|NA|NA|soil|soil|biofilm|host|NA|NA|water|NA|soil|NA|water|water|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|sediment|sediment|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|microaerophilic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|facultative|facultative|NA|microaerophilic|NA|facultative|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
Rhodobacterale_jump9,water,NA,NA,NA
Rhodobacterale_jump10,water,NA|water|NA|NA|water,NA,NA|obligate aerobic|NA|aerobic|obligate aerobic
Rhodobacterale_jump11,sludge,NA|NA|rock|NA|soil|wastewater,NA,NA|NA|aerobic|NA|aerobic|aerobic
Rhodobacterale_jump12,NA,water|sediment|host|water,NA,obligate aerobic|obligate aerobic|obligate aerobic|aerobic
Rhodobacterale_jump13,water,water|water|NA|water|NA|NA|water,aerobic,obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic
Rhodobacterale_jump14,NA|water|sediment|water|NA|NA|NA|sediment|water|NA|NA|sediment|NA|NA|NA|water|water|water|NA|water|water|water|NA|NA|NA|water|water|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|water|water|NA|host|host|water|water|NA|NA|water|NA|NA|host|water|NA|NA|NA|NA|water|NA|water|NA|NA|NA|water|NA|water|NA|NA|NA|NA|biofilm|NA|NA|water|host|biofilm|NA|NA|biofilm|water|NA|NA|NA|sediment|sediment|host|water|NA|sediment|water|NA|host|NA|NA|NA|NA|water|NA|water|NA|petroleum|sediment,NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA,NA|aerobic|anaerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|obligate aerobic|NA|aerobic|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|facultative|NA|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|obligate aerobic|NA|aerobic|facultative|NA|obligate aerobic|aerobic|NA|obligate aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic,NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA
Rhodobacterale_jump15,sediment,water|NA|NA,NA,obligate aerobic|aerobic|NA
Rhodobacterale_jump16,NA,water,NA,obligate aerobic
Rhodobacterale_jump17,NA,water,NA,obligate aerobic
Rhodobacterale_jump18,NA,NA|water|water|water,NA,NA|aerobic|aerobic|NA
Rhodobacterale_jump19,water|NA|sediment|water|NA|petroleum,NA|water|water|water|NA|NA|NA|water|water|NA|NA|NA|NA|NA|NA|NA|NA|water,aerobic|NA|obligate aerobic|aerobic|aerobic|obligate aerobic,NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|facultative|NA|aerobic|NA|NA|obligate aerobic
Rhodobacterale_jump20,NA|NA|NA,NA|water,NA|NA|NA,NA|aerobic
Rhodobacterale_jump21,NA,NA,NA,NA
Rhodobacterale_jump22,NA,water|host|biofilm|NA|NA,NA,obligate aerobic|aerobic|aerobic|NA|NA
Rhodobacterale_jump23,NA|host|NA|host|host|NA|NA|NA|host|water,water,NA|NA|NA|facultative|obligate aerobic|aerobic|NA|NA|facultative|aerobic,aerobic
Rhodobacterale_jump24,NA,NA,NA,NA
Rhodobacterale_jump25,NA|water|soil|NA|NA|NA|water|NA|sediment|NA|NA|NA|water|NA|water|NA|NA|NA|host|NA|NA|host|NA|NA|NA|water|water|sediment|NA|NA|NA|NA|NA|sediment|water|water|rock|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|water|NA|host|water|NA|NA|NA|NA|sediment|sediment|NA|NA,NA|water|water|NA|host|host|water|water|NA|NA|water|NA|NA|host|water|NA|NA|NA|NA|water|NA|water|NA|NA|NA|water|NA|water|NA|NA|NA|NA|biofilm|NA|NA|water|host|biofilm|NA|NA|biofilm|water|NA|NA|NA|sediment|sediment|host|water|NA|sediment|water|NA|host|NA|NA|NA|NA|water|NA|water|NA|petroleum|sediment,NA|obligate aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|facultative|obligate aerobic|NA|NA,NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|obligate aerobic|NA|aerobic|facultative|NA|obligate aerobic|aerobic|NA|obligate aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic
Rhodobacterale_jump26,NA,NA|NA|NA|NA|water|NA|host|water|NA|NA|NA|NA,NA,NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA
Rhodobacterale_jump27,NA,NA|NA|NA|NA,NA,NA|NA|NA|NA
